IDProducto;NombreProducto;PrecioPorUnidadProducto
1;Caja de cartón Multifuncional;59822
2;Estuche Sin olor;83599
3;Bandeja organizadora Fácil de transportar;16841
4;Bandeja organizadora Resistente a la rotura;62557
5;Grapadora No mancha;16914
6;Post-it Ecológico;97050
7;Papelera Brilloso;79359
8;Carpeta clasificadora Diseño ergonómico;74422
9;Cartuchos de tinta Sin olor;77435
10;Carpeta clasificadora Reciclable;87227
11;Estuche Brilloso;27494
12;Bolígrafo de gel Antideslizante;3559
13;Tabla de cortar Brilloso;9325
14;Cinta adhesiva Económico;28878
15;Sellos Resistente a la rotura;16095
16;Tiza Sin olor;46356
17;Carpeta clasificadora Suave al tacto;85965
18;Post-it Antideslizante;3164
19;Pizarra blanca Económico;63128
20;Carpeta Suave al tacto;76249
21;Etiquetas Duradero;20813
22;Encuadernadora Fácil de transportar;85072
23;Encuadernadora Diseño ergonómico;26176
24;Grapas Multifuncional;91743
25;Cartulina Antideslizante;62084
26;Goma de borrar Antideslizante;26236
27;Agenda Reciclable;45233
28;Pluma No tóxico;20157
29;Cinta adhesiva Sin olor;97099
30;Estuche Multifuncional;15358
31;Plastificadora Ecológico;63572
32;Tijeras Suave al tacto;10891
33;Carpeta A prueba de agua;22292
34;Puntero láser Multifuncional;14886
35;Pincel Duradero;21406
36;Pluma Antideslizante;7567
37;Cartuchos de tinta Suave al tacto;19331
38;Marcadores Colores vibrantes;92301
39;Papel Multifuncional;28079
40;Plastificadora Fácil de transportar;97099
41;Marcadores Resistente al desgaste;40409
42;Grapas Resistente al desgaste;87043
43;Marcadores Económico;57678
44;Papel de carta Suave al tacto;95549
45;Resaltador Antideslizante;46478
46;Post-it Ecológico;80051
47;Papel Colores vibrantes;80264
48;Papelera Colores vibrantes;45594
49;Lápiz Sin olor;61059
50;Estuche Resistente al desgaste;61850
51;Borrador Resistente a la rotura;36315
52;Cuaderno Borrado fácil;68459
53;Cinta adhesiva Borrado fácil;99220
54;Papelera Diseño ergonómico;27269
55;Cinta correctora Compacto;85503
56;Block de notas Compacto;34395
57;Tiza Económico;6421
58;Carpeta Libre de ácido;60133
59;Pegamento No tóxico;12611
60;Grapas Fácil de transportar;90079
61;Resaltador Fácil de transportar;95134
62;Sellos Colores vibrantes;9618